Hours_Studied,Attendance,Parental_Involvement,Access_to_Internet,Sleep_Hours,Tutoring_Sessions,Exam_Score
4.2,82.4,Medium,Yes,4.0,2,70.8
4.0,89.0,Medium,Yes,7.5,0,79.7
4.1,68.4,Medium,Yes,6.9,0,57.5
5.8,95.9,Medium,No,6.4,1,82.7
4.2,74.7,Low,Yes,7.3,2,82.5
5.6,77.7,Medium,No,6.9,2,65.5
9.2,69.0,Medium,Yes,8.4,3,96.4
6.7,48.9,Medium,Yes,7.1,1,73.2
4.3,88.6,Low,Yes,6.1,2,60.8
7.4,86.8,Medium,Yes,8.2,0,87.1
4.2,74.6,Low,Yes,6.7,1,71.1
0.9,78.8,Low,Yes,7.6,3,58.2
3.0,84.2,High,Yes,6.4,2,80.5
1.3,59.2,Medium,No,6.2,5,49.6
4.3,71.7,Low,Yes,7.1,1,57.6
5.0,87.5,Low,Yes,7.0,1,72.9
8.4,62.9,Low,Yes,7.6,1,78.9
5.7,81.5,Medium,Yes,6.7,1,72.1
4.6,61.7,Low,Yes,4.8,4,71.0
6.7,83.6,Low,Yes,6.5,2,80.6
0.6,77.6,Medium,No,8.0,4,68.3
5.5,58.6,Medium,Yes,6.6,0,68.0
6.5,92.0,Medium,Yes,6.7,4,90.3
2.0,69.2,Medium,Yes,8.2,0,60.4
7.3,68.3,Low,No,6.1,4,87.1
5.7,80.4,High,Yes,5.1,1,72.1
4.2,91.8,High,Yes,6.8,1,90.7
6.3,65.8,High,Yes,6.4,2,80.2
9.5,78.7,High,Yes,5.8,4,87.3
5.4,83.1,High,Yes,6.8,0,86.4
5.5,86.3,Medium,Yes,7.6,1,79.3
4.1,80.1,Low,Yes,7.0,4,78.0
3.3,73.6,Medium,Yes,7.4,1,75.7
6.7,68.1,Medium,Yes,9.2,0,81.8
3.3,79.0,Medium,Yes,6.6,1,64.4
5.1,65.1,Medium,Yes,7.3,1,77.9
4.0,42.9,Low,Yes,6.4,4,63.2
6.0,83.2,Medium,Yes,6.0,3,84.0
5.7,88.8,High,Yes,6.3,2,70.1
7.1,49.6,Medium,Yes,6.4,5,83.1
4.0,65.9,Medium,Yes,7.4,1,65.1
4.5,85.4,Medium,No,9.8,0,83.7
3.0,100.0,Medium,Yes,6.1,1,74.3
4.1,78.2,High,Yes,6.5,1,75.6
5.8,69.3,Medium,Yes,6.9,0,75.5
6.5,75.8,High,Yes,7.5,4,82.7
3.2,94.5,Medium,Yes,7.3,3,85.8
6.7,70.2,Medium,Yes,8.5,1,92.6
7.7,68.4,Low,Yes,4.1,2,74.8
5.8,72.2,Medium,Yes,4.1,3,82.6
8.8,66.6,Medium,Yes,6.4,4,84.4
3.5,79.5,Medium,Yes,8.3,4,72.7
2.5,97.5,Medium,Yes,5.1,2,68.5
1.4,81.9,High,Yes,4.0,3,67.5
8.0,75.0,Low,No,7.7,2,75.7
6.3,74.5,High,No,7.3,2,83.0
4.9,59.2,Medium,Yes,5.7,0,66.9
5.6,88.6,Medium,Yes,5.8,0,68.0
2.7,77.1,Low,Yes,5.8,2,64.9
9.9,75.8,Medium,Yes,7.1,1,94.5
5.3,100.0,Medium,Yes,6.2,0,77.4
5.2,81.6,Low,Yes,7.6,3,83.1
6.5,69.0,Medium,Yes,4.0,0,61.7
6.0,72.9,High,Yes,6.0,2,82.6
5.4,91.8,Low,Yes,5.6,2,66.3
3.4,79.4,High,Yes,6.7,5,73.1
5.9,60.7,Medium,Yes,6.4,1,68.0
8.8,89.0,Medium,Yes,8.0,0,83.1
7.7,70.0,Medium,No,4.8,2,71.0
8.2,100.0,Low,Yes,7.1,3,87.6
4.0,91.0,Low,Yes,7.7,5,83.2
3.0,72.6,Low,No,9.2,1,60.8
4.7,93.4,Low,No,6.4,1,57.7
5.1,78.8,Medium,Yes,7.4,4,87.5
7.2,88.2,High,Yes,4.8,0,76.0
1.6,83.8,High,Yes,4.1,2,64.0
8.1,67.8,Medium,Yes,8.0,1,86.3
4.7,70.3,Low,Yes,7.0,0,66.7
4.1,90.4,Medium,Yes,8.4,1,83.2
3.0,74.0,Medium,Yes,5.4,1,66.4
1.7,73.2,Low,Yes,7.6,2,56.2
6.6,66.5,Medium,Yes,9.2,4,99.4
5.1,83.1,Medium,Yes,7.5,1,77.6
2.4,100.0,Medium,Yes,7.3,3,73.8
2.4,65.2,Medium,Yes,7.0,0,66.8
4.3,78.3,High,Yes,5.1,2,75.3
8.3,94.9,High,Yes,8.6,0,96.0
4.5,77.0,Medium,Yes,6.3,4,91.1
2.0,83.4,High,No,7.6,3,68.7
4.5,65.3,High,Yes,5.1,2,69.7
4.5,83.1,Medium,Yes,5.6,3,75.0
0.5,75.8,Medium,Yes,8.7,2,70.7
4.9,89.8,Medium,Yes,6.6,5,73.6
4.5,92.2,High,Yes,8.7,3,74.7
6.4,100.0,High,Yes,6.9,4,89.0
8.7,85.0,Low,Yes,4.8,2,70.9
7.3,81.9,Medium,Yes,8.1,0,80.0
4.5,80.3,Medium,Yes,6.3,2,76.3
2.8,73.8,Medium,Yes,7.8,0,60.5
10.1,82.1,Low,Yes,7.0,2,80.4
5.1,74.5,High,No,5.1,1,70.1
5.0,80.0,Medium,Yes,7.2,2,81.8
5.0,93.8,High,Yes,9.6,0,74.7
5.4,65.9,High,Yes,7.6,0,80.9
4.7,91.7,Medium,Yes,6.9,1,80.7
3.9,93.8,Medium,Yes,8.3,5,89.4
3.9,76.6,Medium,Yes,7.3,1,78.0
4.9,52.5,Low,Yes,7.3,1,77.8
3.9,70.7,Medium,Yes,5.7,3,67.7
3.6,93.6,Low,Yes,7.3,2,72.0
5.2,77.7,Medium,Yes,8.2,1,74.4
4.5,66.0,Low,Yes,6.0,1,63.7
8.0,71.9,Low,Yes,8.7,0,89.0
0.5,88.1,Low,Yes,6.9,5,56.7
7.2,84.6,Low,Yes,5.9,0,69.3
7.5,75.1,Medium,Yes,8.2,1,92.0
0.9,73.6,Medium,Yes,6.7,0,63.6
4.3,73.3,Medium,Yes,7.9,0,68.5
4.3,66.9,Low,Yes,6.6,3,73.2
2.2,97.4,Low,No,6.9,0,61.3
3.4,74.1,Low,Yes,7.6,0,72.4
2.8,92.6,Low,Yes,7.3,1,67.2
8.5,96.3,High,Yes,4.6,0,92.7
6.9,90.0,Low,Yes,5.7,0,90.1
7.5,72.8,Medium,Yes,8.1,3,90.2
6.4,82.8,Low,Yes,6.8,3,79.0
2.7,77.7,Low,Yes,6.4,4,71.1
4.0,67.2,Medium,Yes,5.4,4,68.4
6.0,81.9,Medium,Yes,5.7,2,91.5
2.6,63.9,Low,Yes,4.6,0,53.7
6.4,92.3,Low,No,6.9,3,75.3
4.5,72.4,Medium,Yes,6.3,3,68.3
4.3,80.4,Low,Yes,5.8,3,76.0
6.4,81.4,Low,Yes,6.9,2,82.0
5.9,74.9,High,Yes,7.4,0,76.2
4.3,85.0,Medium,Yes,9.5,3,85.3
7.3,72.3,Medium,Yes,5.2,3,71.0
2.8,88.5,Medium,Yes,8.4,5,80.3
6.2,61.8,Medium,Yes,8.2,0,77.6
6.2,79.5,Medium,Yes,6.1,0,84.8
4.4,100.0,Medium,Yes,7.2,0,70.9
5.7,66.0,Medium,Yes,6.5,3,68.5
2.5,69.9,Low,No,7.2,0,49.4
6.8,84.2,Medium,Yes,8.8,0,74.9
4.6,80.2,Medium,Yes,7.7,5,89.8
4.0,82.2,High,Yes,7.6,0,84.4
7.1,83.9,Medium,No,6.5,3,82.5
3.6,85.6,Medium,Yes,5.2,1,74.9
2.2,91.3,Low,Yes,6.7,3,67.7
1.9,82.9,Medium,Yes,8.4,2,69.1
6.2,75.1,Low,Yes,5.2,4,73.0
2.4,86.1,Medium,Yes,5.7,4,68.4
8.5,100.0,Low,Yes,7.2,0,75.3
0.8,76.4,Medium,No,5.8,0,53.6
8.4,66.3,Low,Yes,6.0,1,76.0
5.4,91.3,Medium,Yes,6.5,2,83.4
4.8,76.6,High,Yes,5.4,4,79.8
3.9,51.9,Low,Yes,5.8,1,57.3
5.8,88.2,Medium,No,7.8,2,72.9
4.9,71.6,Medium,Yes,5.4,0,67.7
7.2,76.9,Low,Yes,5.1,3,81.0
5.2,82.0,High,Yes,6.2,5,78.2
5.3,80.3,Low,Yes,7.9,1,73.8
4.3,86.5,Medium,Yes,6.8,1,74.6
4.9,72.8,Medium,Yes,6.4,0,65.2
5.6,84.2,Medium,Yes,7.1,2,75.7
1.6,74.9,Medium,No,4.9,2,57.4
2.3,86.9,Medium,Yes,7.6,0,59.9
6.5,85.4,Low,No,7.5,1,75.5
5.3,66.8,Medium,Yes,6.5,1,66.1
4.6,91.0,Medium,Yes,8.2,2,86.1
5.0,71.6,High,Yes,5.6,2,89.6
5.7,87.7,High,Yes,8.4,0,78.2
3.9,82.4,High,Yes,7.2,3,82.6
3.4,100.0,Medium,Yes,6.6,3,72.1
5.4,75.3,Medium,Yes,7.0,1,80.9
3.0,73.8,High,Yes,6.9,0,61.0
5.8,77.8,Medium,Yes,8.5,3,86.0
1.6,74.4,Low,Yes,5.7,5,57.7
7.1,87.6,High,Yes,6.1,0,82.0
5.9,58.6,High,Yes,8.2,1,72.8
5.5,65.4,Medium,Yes,6.3,0,74.5
7.0,65.2,Low,Yes,8.1,2,72.5
8.3,89.4,Medium,No,9.0,0,88.5
7.0,98.5,High,Yes,6.5,1,85.8
1.3,76.7,High,Yes,7.8,2,68.5
2.4,76.0,Low,Yes,5.6,2,61.1
3.8,78.8,Low,Yes,7.9,1,63.5
5.1,91.9,High,Yes,7.2,1,83.0
6.0,66.9,Medium,Yes,7.6,2,86.9
3.5,80.9,Medium,No,6.2,0,57.7
5.4,89.7,High,Yes,5.0,0,83.0
3.5,84.0,Low,Yes,7.6,4,82.1
3.8,80.3,Medium,Yes,4.5,0,58.9
2.2,90.0,Low,Yes,6.6,3,57.7
3.2,45.6,Medium,Yes,8.1,4,70.5
2.3,86.1,High,Yes,7.2,1,68.2
3.0,70.2,Medium,Yes,9.3,1,81.7
7.1,56.0,High,No,8.2,2,80.2
3.1,84.1,Medium,Yes,6.2,4,68.2
10.3,94.5,Medium,Yes,7.0,4,93.1
6.0,76.4,Low,Yes,6.9,3,82.7
5.4,89.4,Medium,Yes,5.1,0,68.7
3.3,97.3,Medium,Yes,5.9,2,72.6
6.4,93.8,Low,Yes,6.3,1,82.3
3.8,97.7,Medium,Yes,4.6,1,66.7
5.2,86.9,Medium,Yes,7.1,0,74.7
10.1,78.9,Medium,Yes,6.7,0,88.0
4.8,58.8,Medium,No,5.0,3,68.8
7.3,75.0,Medium,Yes,7.5,1,85.2
3.6,67.9,Low,No,7.9,1,59.7
4.9,100.0,Low,No,7.3,1,71.5
8.5,75.9,Medium,Yes,6.6,4,87.1
3.7,79.5,Medium,Yes,7.7,3,66.3
8.6,84.6,Low,Yes,7.8,1,86.1
6.4,78.5,High,Yes,7.4,0,92.9
3.9,98.3,High,Yes,6.0,1,71.6
6.3,70.5,Medium,Yes,7.3,4,77.8
6.9,80.3,Low,No,8.4,2,71.9
6.2,69.1,High,Yes,6.3,2,84.6
1.9,62.2,Medium,Yes,9.5,2,70.1
3.5,70.7,High,Yes,6.4,1,69.4
4.5,77.6,High,No,7.0,3,70.4
4.9,72.8,High,Yes,6.2,2,77.3
6.2,69.7,Medium,No,7.3,0,61.4
5.4,61.1,Low,Yes,4.9,0,62.4
2.3,77.0,Medium,Yes,6.3,2,70.7
5.8,59.9,Medium,Yes,5.7,4,67.8
6.2,87.1,Medium,Yes,7.2,1,71.0
6.1,79.0,Low,Yes,8.2,4,91.0
7.2,60.5,Low,Yes,7.8,3,74.7
6.7,74.3,High,Yes,4.2,0,82.0
5.9,69.0,Medium,Yes,9.5,0,77.1
4.9,81.8,High,Yes,7.4,0,76.5
1.7,94.1,High,No,6.1,3,71.4
5.9,55.5,Medium,Yes,7.2,0,65.2
5.4,79.4,Medium,Yes,7.2,1,76.7
5.5,76.1,High,Yes,6.2,2,77.1
2.4,86.1,Medium,Yes,7.2,3,63.5
2.8,80.6,Medium,Yes,6.3,0,66.3
7.1,69.0,Low,Yes,6.5,1,72.1
4.9,74.2,Medium,Yes,6.2,1,70.3
6.4,68.4,Medium,Yes,5.3,2,67.5
5.1,90.9,Medium,Yes,7.2,3,90.7
5.1,78.3,Low,Yes,7.7,0,75.2
6.9,100.0,Medium,Yes,7.6,3,95.5
4.0,77.3,Low,Yes,8.0,2,68.6
5.2,69.5,Low,Yes,7.4,2,61.0
4.1,59.8,Medium,Yes,6.4,2,79.4
4.1,56.4,High,Yes,8.0,1,72.0
4.4,59.0,Medium,No,5.4,0,54.4
5.4,81.2,Low,Yes,5.9,2,74.0
4.0,84.1,Low,Yes,5.8,2,74.5
7.5,59.0,Medium,Yes,8.3,2,82.0
3.2,88.7,Medium,Yes,8.1,1,80.4
4.6,72.2,High,Yes,7.6,4,88.5
4.1,79.8,Medium,Yes,8.3,2,69.4
7.9,97.3,High,Yes,5.9,0,83.4
5.4,88.8,Medium,Yes,7.4,1,84.2
7.1,74.8,Medium,Yes,6.8,3,66.9
2.0,67.3,Medium,Yes,8.0,3,66.7
5.5,52.2,High,Yes,6.9,1,65.1
6.8,69.4,Medium,Yes,6.5,4,79.4
5.2,75.5,Medium,Yes,7.6,1,73.5
7.1,66.2,Medium,Yes,8.1,1,78.1
4.0,76.4,Low,Yes,6.2,4,66.9
7.8,78.9,Medium,Yes,6.9,4,81.7
9.6,75.3,Low,Yes,5.7,2,97.0
4.3,70.2,Medium,Yes,4.0,4,80.6
4.1,80.0,Medium,Yes,7.2,0,63.1
7.9,83.3,Medium,Yes,7.7,4,100.0
8.2,64.9,High,Yes,7.3,1,83.5
4.0,94.9,High,Yes,4.7,0,72.9
4.2,76.8,High,Yes,6.6,0,72.2
4.4,78.2,Low,Yes,4.3,1,58.7
2.3,86.5,Low,Yes,8.6,1,72.3
3.2,80.8,Medium,Yes,5.7,1,67.0
3.0,89.4,Medium,Yes,8.5,0,68.4
3.5,81.4,Medium,Yes,8.1,1,64.3
4.9,70.7,Low,Yes,5.9,2,62.3
5.5,82.3,Medium,Yes,5.6,1,63.9
8.1,64.3,Low,No,7.4,1,73.7
3.0,79.3,High,Yes,6.0,3,66.3
7.0,77.6,Low,No,7.1,4,76.3
4.6,75.5,Medium,Yes,6.4,3,82.8
4.9,76.5,Low,Yes,4.9,1,72.3
6.3,55.4,Medium,Yes,4.3,3,71.2
2.8,71.4,Medium,Yes,7.3,0,63.7
5.8,79.1,High,Yes,6.3,0,88.8
5.3,79.9,High,Yes,6.3,1,81.1
6.0,65.7,Medium,Yes,7.8,3,77.7
5.6,93.2,High,No,8.4,0,71.7
9.9,67.6,High,Yes,6.7,0,91.3
3.7,89.6,High,Yes,6.6,0,78.7
3.9,83.1,High,Yes,7.6,4,78.4
3.8,70.2,Low,Yes,5.4,2,64.8
3.9,99.3,Medium,Yes,7.3,1,73.5
3.7,63.7,Low,Yes,7.7,2,64.7
7.4,89.0,Low,Yes,7.8,2,68.5
7.8,90.0,High,Yes,4.7,2,85.4
3.9,70.0,Medium,Yes,6.1,0,70.9
3.3,94.7,Medium,No,5.9,4,67.6
5.9,75.0,High,Yes,7.1,1,80.7
3.9,81.5,High,No,7.6,2,69.7
6.3,81.1,High,Yes,8.8,0,86.8
5.4,76.4,Low,Yes,6.4,1,68.4
2.0,87.7,Low,Yes,6.4,1,55.7
8.1,87.5,Medium,Yes,8.4,2,98.6
8.6,57.0,Low,Yes,7.4,0,81.4
3.8,93.7,Low,Yes,8.5,3,72.5
4.2,58.1,Medium,Yes,7.3,0,68.8
5.6,90.4,High,Yes,5.6,2,84.8
5.7,91.5,Medium,Yes,5.4,3,83.4
6.3,64.9,Medium,Yes,5.1,2,63.1
9.0,73.1,Medium,Yes,7.8,3,96.9
4.6,64.7,Low,Yes,8.4,2,66.9
3.4,75.4,Low,Yes,9.2,1,66.5
2.2,74.3,High,Yes,8.0,3,89.6
3.5,87.4,Medium,No,8.4,1,71.8
4.9,93.7,High,Yes,6.3,2,79.2
8.6,94.7,Low,Yes,5.6,3,72.7
4.0,71.3,High,Yes,8.0,1,83.6
5.4,75.5,Medium,Yes,7.5,1,67.6
5.0,57.8,Medium,Yes,7.1,1,63.7
7.4,68.3,Medium,Yes,7.5,3,82.1
10.1,89.6,High,Yes,7.4,4,100.0
3.9,97.4,Medium,Yes,8.5,2,84.1
4.0,63.2,Medium,Yes,8.6,2,71.6
7.1,70.9,High,Yes,7.7,4,91.8
6.4,77.7,High,Yes,8.0,0,79.0
8.7,81.4,Medium,No,7.6,0,82.8
6.2,68.3,Medium,Yes,6.4,3,78.5
4.3,83.1,Medium,Yes,7.9,3,84.1
6.2,72.3,Low,Yes,5.3,4,80.3
7.2,77.8,Medium,Yes,8.3,1,86.5
6.6,84.6,High,No,5.6,0,73.8
6.0,78.1,High,Yes,7.3,1,86.2
7.1,72.8,Medium,No,6.0,0,71.2
7.3,76.7,Medium,Yes,7.7,1,75.9
7.8,76.9,Low,Yes,7.0,3,79.9
6.3,73.6,High,Yes,5.1,0,76.1
4.7,74.9,High,Yes,7.5,3,86.4
5.3,97.2,Medium,No,6.3,1,72.6
7.4,84.7,High,Yes,8.1,2,83.9
3.4,74.5,Medium,Yes,7.0,0,66.6
5.7,86.4,Medium,Yes,7.5,1,79.7
4.2,74.0,Low,Yes,5.9,0,63.6
5.1,92.1,Medium,Yes,6.3,5,88.7
7.6,82.4,Medium,Yes,6.4,3,91.8
5.4,76.7,Medium,Yes,8.0,1,73.4
5.1,83.4,Medium,Yes,9.0,0,74.0
2.3,59.1,High,No,6.0,4,58.3
6.5,64.5,Low,Yes,8.3,1,78.6
6.3,63.7,Medium,Yes,4.4,0,76.7
9.3,79.7,Medium,Yes,5.6,2,85.2
4.4,98.8,Medium,Yes,5.8,4,78.2
5.4,100.0,Medium,Yes,5.4,0,83.9
5.5,85.7,Medium,Yes,5.1,0,74.7
8.2,84.0,Low,Yes,7.5,4,90.5
4.8,56.4,Medium,No,6.7,0,55.0
5.6,71.5,Medium,Yes,7.5,0,77.7
6.2,68.5,Low,Yes,7.8,2,69.5
5.4,70.5,Medium,Yes,7.3,4,72.8
4.1,76.0,Medium,Yes,7.8,1,70.2
5.4,72.3,Medium,Yes,6.9,5,77.5
7.1,54.2,High,No,5.6,2,73.1
2.9,87.0,Low,No,8.3,0,53.4
5.3,65.1,Low,No,6.3,5,75.6
3.6,80.9,High,No,5.9,1,74.7
7.4,100.0,Medium,Yes,6.8,1,74.4
2.0,67.0,Medium,Yes,5.9,2,67.4
3.9,47.6,High,Yes,6.5,1,61.9
5.8,74.6,High,Yes,7.4,0,83.9
8.1,91.2,High,Yes,7.4,0,89.4
4.9,100.0,Medium,Yes,5.9,1,76.5
3.9,63.2,Medium,Yes,6.4,3,68.5
8.8,84.0,Medium,Yes,8.3,2,99.1
2.1,72.4,Low,Yes,7.6,5,60.4
0.6,76.7,Medium,Yes,9.5,1,68.2
5.9,100.0,Medium,Yes,8.4,1,91.1
4.0,60.0,High,Yes,8.4,0,76.1
3.0,81.0,Medium,Yes,5.3,0,77.0
6.4,83.6,Medium,Yes,7.9,1,78.3
5.5,91.0,Medium,Yes,6.9,3,87.6
3.9,79.2,Low,Yes,6.3,4,70.1
2.4,81.7,Low,Yes,7.2,5,77.5
6.7,73.3,Medium,Yes,8.1,0,78.7
6.3,81.2,Low,Yes,7.6,4,79.1
4.8,73.9,Medium,Yes,5.9,1,78.1
8.7,85.5,High,Yes,7.9,0,88.5
2.9,73.6,High,Yes,6.2,4,65.6
1.9,82.5,Medium,Yes,7.3,2,64.3
3.6,77.6,Low,Yes,6.6,0,66.5
4.9,91.5,High,Yes,6.7,1,88.4
5.5,77.4,High,Yes,7.9,1,81.9
4.5,56.7,Low,Yes,5.8,3,72.8
5.7,93.1,Medium,Yes,9.3,1,76.0
2.5,67.1,Medium,Yes,4.8,5,63.7
7.9,70.2,High,Yes,6.3,0,80.6
4.8,70.9,High,Yes,7.4,1,75.9
7.2,94.5,Low,Yes,7.7,1,82.5
5.7,52.4,High,Yes,6.9,2,80.3
5.9,100.0,Medium,Yes,6.9,1,78.8
6.1,90.7,High,Yes,7.5,3,89.7
5.9,80.7,Medium,Yes,6.7,4,82.0
6.3,77.3,High,Yes,8.7,4,85.2
7.7,81.4,Low,No,8.0,3,80.3
5.4,84.3,Medium,Yes,8.0,4,83.2
6.4,85.7,Low,Yes,5.8,2,74.5
4.8,84.7,High,Yes,6.9,3,82.4
7.9,79.1,High,Yes,6.6,1,87.1
3.6,75.6,High,Yes,5.8,1,68.0
8.6,76.2,High,Yes,7.4,1,97.5
4.9,75.7,Low,Yes,6.4,1,60.9
2.1,91.6,Medium,No,7.8,1,60.9
5.3,85.1,Low,Yes,5.7,5,93.8
3.6,42.7,Low,Yes,9.1,1,55.7
6.7,85.9,Low,No,5.9,0,61.0
3.7,80.3,Medium,Yes,7.3,2,77.1
4.1,77.8,Medium,No,8.0,0,54.8
1.2,73.3,Low,Yes,6.3,0,52.2
4.1,91.5,Low,Yes,8.0,0,83.1
0.5,89.4,Low,Yes,5.5,1,45.8
1.8,68.7,High,Yes,8.7,1,57.2
6.5,82.9,High,No,7.0,3,74.4
6.6,66.3,High,Yes,6.3,3,88.1
5.9,61.4,Medium,Yes,6.6,1,79.1
3.1,70.5,Medium,Yes,8.0,1,65.2
4.9,88.3,High,Yes,6.3,1,82.6
5.0,89.4,Medium,Yes,6.1,3,86.6
2.7,84.2,Medium,Yes,6.7,0,76.3
8.0,86.7,Low,Yes,5.6,0,75.4
6.8,84.2,Low,Yes,9.2,3,71.3
4.6,70.3,Medium,Yes,6.3,1,64.7
5.1,83.2,Medium,Yes,8.0,0,73.1
5.4,87.6,Medium,Yes,7.3,0,74.6
0.9,87.1,Low,Yes,5.8,4,60.7
4.5,92.3,Low,Yes,7.0,4,83.6
3.6,86.5,High,Yes,7.9,3,88.4
3.0,82.2,Low,Yes,6.8,1,63.1
4.4,90.8,Medium,Yes,8.4,2,86.0
8.6,77.7,High,Yes,8.2,5,100.0
6.3,67.4,Low,Yes,8.1,5,81.6
3.9,76.0,Low,Yes,6.4,0,68.4
6.1,69.1,Medium,Yes,5.7,3,77.0
